보낸이,메일주소,제목,내용,스팸여부
""" 갤럭시Z플립5 """,biznb2@nate.com,(광고) 갤럭시Z Flip5 갤럭시S23 재고수량 대방출! 온라인특가 확인하세요,"<table width=""100%"" border=""0"" cellspacing=""0"" cellpadding=""0"">
<tbody><tr>
<td align=""center"" valign=""top"">
	<table width=""700"" border=""0"" cellspacing=""0"" cellpadding=""0"">
		<tbody><tr>
			<td>
<IMG
 ALT="""" STYLE=""display: block;"" SRC=""http://eventadmin.co.kr/Event2023/A0688/images3/mail/mail_01.gif""></td>
		</tr>
		
			<tr>
<td align=""center"">
			<A TARGET=""_blank""HREF=""http://110.10.129.188:80/filter/clickDetecter.jsp?campaignID=18596&duplicationYN=N&targetIndex=78219&encoding=yes&maillink=false&email=caose9%40naver.com&url=https%3A%2F%2Feventadmin.co.kr%2FEvent2023%2FA0688%2Fevt3.aspx%24q%24me%24e%24A0688&linkID=60108&type=click""><IMG
 BORDER=""0"" ALT=""\uc0ac\uc804\uc608\uc57d \uc2e0\uccad\ud558\uae30"" STYLE=""display: block;"" SRC=""http://eventadmin.co.kr/Event2023/A0688/images3/mail/mail_02.gif""></A></td>
		    </tr>
<tr>
			<td>
<IMG
 ALT="""" STYLE=""display: block;"" SRC=""http://eventadmin.co.kr/Event2023/A0688/images3/mail/mail_03.jpg""></td>
		</tr>
		<tr>
			<td style=""padding: 20px 0px; color: rgb(102, 102, 102); font-size: 11px;"">
			<div align=""center"">			\ubcf8 \uba54\uc77c\uc740 (\uc8fc)\uc5d4\ube44\uc988\uc5d0\uc11c
\uc2dc\ud589\ud558\ub294 \uc774\ubca4\ud2b8 \ucc38\uc5ec\uc790\uc911 \uba54\uc77c \ubc1b\uae30\ub97c \ub3d9\uc758\ud558\uc2e0 \ubd84\ub4e4\uaed8 \ubc1c\uc1a1\ub418\ub294 \uba54\uc77c \uc785\ub2c8\ub2e4. <br>
			\uc218\uc2e0\uc744 \ub354\uc774\uc0c1 \uc6d0\ud558\uc9c0 \uc54a\ub294 \ubd84\ub4e4\uaed8\uc11c\ub294 <A TARGET=""_new""HREF=""http://110.10.129.188:80/filter/clickDetecter.jsp?campaignID=18596&duplicationYN=N&targetIndex=78219&encoding=yes&maillink=false&email=caose9%40naver.com&url=http%3A%2F%2Feventadmin.co.kr%2FReject%2FAgree2.aspx%24q%24email%24e%24caose9@naver.com&linkID=60109&type=reject""><font
 color=""red""><b>\uc218\uc2e0\uac70\ubd80</b></font></A>\ub97c \ud074\ub9ad\ud574 \uc8fc\uc2dc\uae30 \ubc14\ub78d\ub2c8\ub2e4.<br>
			To unsubscribe this e-mail, <A TARGET=""_blank""HREF=""http://110.10.129.188:80/filter/clickDetecter.jsp?campaignID=18596&duplicationYN=N&targetIndex=78219&encoding=yes&maillink=false&email=caose9%40naver.com&url=http%3A%2F%2Feventadmin.co.kr%2FReject%2FAgree2.aspx%24q%24email%24e%24caose9@naver.com&linkID=60110&type=reject"">click
 here</A><span class=""style2""><br>
			<br>
			\uc18c\uc7ac\uc9c0 : \uc778\ucc9c\uad11\uc5ed\uc2dc \uc5f0\uc218\uad6c \uc778\ucc9c\ud0c0\uc6cc\ub300\ub85c323 C\ub3d9 906\ud638 (\uc8fc)\uc5d4\ube44\uc988<br>
			\uc0ac\uc5c5\uc790\ub4f1\ub85d\ubc88\ud638 : 621-88-00616
T.1644-7410 \ub300\ud45c\uba54\uc77c : hyh3513@naver.com <br>
			Copyright \u24d2 NBIZ Co., Ltd. All rights reserved.</span><br>
			</div>			</td>
		</tr>
	</tbody></table>
</td>
</tr>
</tbody></table>
</table>

<img src='http://110.10.129.188:80/filter/checker.jsp?campaignID=18596&email=caose9@naver.com&responseEnd=2023-12-12' width=0 height=0>
<iframe frameborder=0 height=0 width=0 src='http://110.10.129.188:80/filter/Tracker.jsp?campaignID=18596&email=caose9@naver.com&responseEnd=2023-12-12'></iframe>
",0
""" 갤럭시Z플립5 """,biznb2@nate.com,"(광고) 갤럭시Z Flip5, 갤럭시23 폭탄지원금 쏜다! 온라인 최저가 확인하세요~","<table width=""100%"" border=""0"" cellspacing=""0"" cellpadding=""0"">
<tbody><tr>
<td align=""center"" valign=""top"">
	<table width=""700"" border=""0"" cellspacing=""0"" cellpadding=""0"">
		<tbody><tr>
			<td>
<IMG
 ALT="""" STYLE=""display: block;"" SRC=""http://eventadmin.co.kr/Event2023/A0688/images3/mail/mail_01.gif""></td>
		</tr>
		
			<tr>
<td align=""center"">
			<A TARGET=""_blank""HREF=""http://110.10.129.188:80/filter/clickDetecter.jsp?campaignID=18597&duplicationYN=N&targetIndex=147202&encoding=yes&maillink=false&email=caose9%40naver.com&url=https%3A%2F%2Feventadmin.co.kr%2FEvent2023%2FA0688%2Fevt3.aspx%24q%24me%24e%24A0688&linkID=60111&type=click""><IMG
 BORDER=""0"" ALT=""\uc0ac\uc804\uc608\uc57d \uc2e0\uccad\ud558\uae30"" STYLE=""display: block;"" SRC=""http://eventadmin.co.kr/Event2023/A0688/images3/mail/mail_02.gif""></A></td>
		    </tr>
<tr>
			<td>
<IMG
 ALT="""" STYLE=""display: block;"" SRC=""http://eventadmin.co.kr/Event2023/A0688/images3/mail/mail_03.jpg""></td>
		</tr>
		<tr>
			<td style=""padding: 20px 0px; color: rgb(102, 102, 102); font-size: 11px;"">
			<div align=""center"">			\ubcf8 \uba54\uc77c\uc740 (\uc8fc)\uc5d4\ube44\uc988\uc5d0\uc11c
\uc2dc\ud589\ud558\ub294 \uc774\ubca4\ud2b8 \ucc38\uc5ec\uc790\uc911 \uba54\uc77c \ubc1b\uae30\ub97c \ub3d9\uc758\ud558\uc2e0 \ubd84\ub4e4\uaed8 \ubc1c\uc1a1\ub418\ub294 \uba54\uc77c \uc785\ub2c8\ub2e4. <br>
			\uc218\uc2e0\uc744 \ub354\uc774\uc0c1 \uc6d0\ud558\uc9c0 \uc54a\ub294 \ubd84\ub4e4\uaed8\uc11c\ub294 <A TARGET=""_new""HREF=""http://110.10.129.188:80/filter/clickDetecter.jsp?campaignID=18597&duplicationYN=N&targetIndex=147202&encoding=yes&maillink=false&email=caose9%40naver.com&url=http%3A%2F%2Feventadmin.co.kr%2FReject%2FAgree2.aspx%24q%24email%24e%24caose9@naver.com&linkID=60112&type=reject""><font
 color=""red""><b>\uc218\uc2e0\uac70\ubd80</b></font></A>\ub97c \ud074\ub9ad\ud574 \uc8fc\uc2dc\uae30 \ubc14\ub78d\ub2c8\ub2e4.<br>
			To unsubscribe this e-mail, <A TARGET=""_blank""HREF=""http://110.10.129.188:80/filter/clickDetecter.jsp?campaignID=18597&duplicationYN=N&targetIndex=147202&encoding=yes&maillink=false&email=caose9%40naver.com&url=http%3A%2F%2Feventadmin.co.kr%2FReject%2FAgree2.aspx%24q%24email%24e%24caose9@naver.com&linkID=60113&type=reject"">click
 here</A><span class=""style2""><br>
			<br>
			\uc18c\uc7ac\uc9c0 : \uc778\ucc9c\uad11\uc5ed\uc2dc \uc5f0\uc218\uad6c \uc778\ucc9c\ud0c0\uc6cc\ub300\ub85c323 C\ub3d9 906\ud638 (\uc8fc)\uc5d4\ube44\uc988<br>
			\uc0ac\uc5c5\uc790\ub4f1\ub85d\ubc88\ud638 : 621-88-00616
T.1644-7410 \ub300\ud45c\uba54\uc77c : hyh3513@naver.com <br>
			Copyright \u24d2 NBIZ Co., Ltd. All rights reserved.</span><br>
			</div>			</td>
		</tr>
	</tbody></table>
</td>
</tr>
</tbody></table>
</table>

<img src='http://110.10.129.188:80/filter/checker.jsp?campaignID=18597&email=caose9@naver.com&responseEnd=2023-12-12' width=0 height=0>
<iframe frameborder=0 height=0 width=0 src='http://110.10.129.188:80/filter/Tracker.jsp?campaignID=18597&email=caose9@naver.com&responseEnd=2023-12-12'></iframe>
",0
네이버 시리즈,series_noreply@webtoonscorp.com,[네이버 시리즈] '멸망 예정인 아카데...'의 구매 내역을 안내해 드립니다.,,1
네이버 시리즈,series_noreply@webtoonscorp.com,[네이버 시리즈] '마교 교주의 부군이...'의 구매 내역을 안내해 드립니다.,,1
네이버 시리즈,series_noreply@webtoonscorp.com,[네이버 시리즈] '이세계 보육원 [독...'의 구매 내역을 안내해 드립니다.,,1
네이버 시리즈,series_noreply@webtoonscorp.com,[네이버 시리즈] '목욕탕 사장이 게이...'의 구매 내역을 안내해 드립니다.,,1
CHEOMAD,admin@cheom-ad.kr,(광고) 신제품 출시전 갤럭시 S23 시리즈 파격특가 재고정리!,"<html>

<body>

<table border=""0"" width=""768"" cellspacing=""0"" cellpadding=""0"" align=""center"">
  

<tr>
<td colspan=""2"">
<a href=""http://haneulphone.co.kr"" target=""_blank"" rel=""noreferrer noopener""><img src=""https://loanconsulting.kr/mail/S23.jpg"" width=""768"" height=""1500"" loading=""lazy"">
</a>
</td>
</tr>

<tr>
<td colspan=""2"">
<a href=""http://adloanmailserver.com/Back/MailMgmt/Mail_Cancel.html?cancelemail=caose9@naver.com&adcode=2023-03-13_2"" target=""_blank""><img src=""http://loanconsulting.kr/mail/cheomadfooter.jpg"" width=""768"" height=""207"">
</a>
</td>
</tr>

</table>

</body>

</html>


<img src=""http://adnamepr.com/Interface/backproxy.aspx?MT=InsertReceiptMail&PV=cheomad_23110201|`|caose9@naver.com"" width=""0"" height=""0"" />












",0
네이버 시리즈,series_noreply@webtoonscorp.com,[네이버 시리즈] '아카데미 편의점으로...'의 구매 내역을 안내해 드립니다.,,1
💗이상형찾기💗,manager@successbizcom.com,(광고) 💌 가입비 테스트로 미래의 반쪽 찾기! 1분 내로 체크해보세요! 💌,"[https://hiddenmailer.com/mail/gourl.php?campaigncode=JB9WBJF8NWZS4WM||caose9/naver.com]
[https://hiddenmailer.com/mail/refuse.php?campaigncode=JB9WBJF8NWZS4WM||caose9/naver.com]",0
네이버 웹툰,series_noreply@webtoonscorp.com,[네이버 웹툰] '일렉시드'의 구매 내역을 안내해 드립니다.,,1
네이버 시리즈,series_noreply@webtoonscorp.com,[네이버 시리즈] '멸망 예정인 아카데...'의 구매 내역을 안내해 드립니다.,,1
네이버 시리즈,series_noreply@webtoonscorp.com,[네이버 시리즈] '이세계 보육원 [독...'의 구매 내역을 안내해 드립니다.,,1
네이버 시리즈,series_noreply@webtoonscorp.com,[네이버 시리즈] '마교 교주의 부군이...'의 구매 내역을 안내해 드립니다.,,1
네이버 시리즈,series_noreply@webtoonscorp.com,[네이버 시리즈] '목욕탕 사장이 게이...'의 구매 내역을 안내해 드립니다.,,1
CHEOMAD,admin@cheom-ad.kr,"(광고) 고객님은 안정지원자금 대상자입니다. 생계자금,대환자금 신청하세요","<html>

<body>

<table border=""0"" width=""768"" cellspacing=""0"" cellpadding=""0"" align=""center"">
  
<tr>
<td colspan=""2"">
<a href=""https://www.loanlife.co.kr/"" target=""_blank"" rel=""noreferrer noopener""><img src=""https://loanconsulting.kr/mail/dkstlaeocnf.jpg"" width=""768"" height=""1400"" loading=""lazy"">
</a>
</td>
</tr>

<tr>
<td colspan=""2"">
<a href=""http://adloanmailserver.com/Back/MailMgmt/Mail_Cancel.html?cancelemail=caose9@naver.com&adcode=2023-03-13_2"" target=""_blank""><img src=""http://loanconsulting.kr/mail/cheomadfooter.jpg"" width=""768"" height=""207"">
</a>
</td>
</tr>

</table>

</body>

</html>

<img src=""http://adnamepr.com/Interface/backproxy.aspx?MT=InsertReceiptMail&PV=cheomad_23100401|`|caose9@naver.com"" width=""0"" height=""0"" />

























",0
네이버 시리즈,series_noreply@webtoonscorp.com,[네이버 시리즈] '아카데미 플레이어를...'의 구매 내역을 안내해 드립니다.,,1
네이버 시리즈,series_noreply@webtoonscorp.com,[네이버 시리즈] '히든 특성 13개 ...'의 구매 내역을 안내해 드립니다.,,1
네이버 시리즈,series_noreply@webtoonscorp.com,[네이버 시리즈] '아카데미 편의점으로...'의 구매 내역을 안내해 드립니다.,,1
네이버 시리즈,series_noreply@webtoonscorp.com,[네이버 시리즈] '나 혼자 탑에서 농...'의 구매 내역을 안내해 드립니다.,,1
네이버 시리즈,series_noreply@webtoonscorp.com,[네이버 시리즈] '히든 특성 13개 ...'의 구매 내역을 안내해 드립니다.,,1
🚩일본골프회원권🚩,admin@com2here.com,(광고) 창립구좌 마감임박🚨 구마모토 3개 골프장 63홀 라운드가능 + 겨울골프 해결! 일본쿠마cc 골프회원권,"[https://hiddenmailer.com/mail/gourl.php?campaigncode=XEVAES0725P4B9X||caose9/naver.com]
[https://hiddenmailer.com/mail/refuse.php?campaigncode=XEVAES0725P4B9X||caose9/naver.com]",0
네이버,account_noreply@navercorp.com,새로운 기기에서 로그인 되었습니다.,"
<!-- 아웃룩용 max-width 핵 --> <!--[if (gte mso 9)|(IE)]> <table border=""0"" cellpadding=""0"" cellspacing=""0""> <tr> <td width=""595""> <![endif]-->

<!-- Header -->





새로운 기기에서로그인 되었습니다.



<!-- //Header -->
회원님의 아이디 caos**** 이(가) 새로운 기기(브라우저)에서 로그인 되었습니다.
이 메일은 새로운 기기에서 로그인이 된 경우 발송됩니다.
하나의 기기라도 새로운 브라우저 또는 애플리케이션에서 로그인하면 각각 알림이 발송됩니다.


로그인 정보



일시 2023-12-06(수) 21:15
타입 일반로그인
운영체제 Android
브라우저/앱 Chrome
로그인 IP 106.102.142.182(대한민국)







1. 로그인 했을 때 알림을 받지 않도록 등록한 기기를 확인하고 관리할 수 있습니다.
등록한 기기 보기 >

2. 직접 로그인한 것이 아니라면 비밀번호를 변경하고 ‘전체 로그아웃’하여
타인이 로그인하지 않도록 관리해 주세요.
비밀번호 변경하기 >

네이버를 이용해 주셔서 감사합니다.더욱 편리한 서비스를 제공하기 위해 항상 최선을 다하겠습니다.


<!-- footer --> 본 메일은 발신전용 입니다. 네이버 서비스관련 궁금하신 사항은 네이버 고객센터에서 확인해주세요.
Copyright ⓒ NAVER Corp. All Rights Reserved.
<!-- //footer -->
<!--[if mso]> </td> </tr> </table> <![endif]-->

",1
네이버,account_noreply@navercorp.com,알림 없이 로그인하는 기기로 등록 되었습니다.,"
<!-- 아웃룩용 max-width 핵 --> <!--[if (gte mso 9)|(IE)]> <table border=""0"" cellpadding=""0"" cellspacing=""0""> <tr> <td width=""595""> <![endif]-->

<!-- Header -->





알림 없이 로그인하는 기기로등록 되었습니다.



<!-- //Header -->
회원님의 아이디 caos**** 에 알림 없이 로그인하는 기기로 등록 되었습니다.


기기 등록 정보



일시 2023-12-06(수) 21:15
운영체제 Android
브라우저/앱 Chrome
로그인 IP 106.102.142.182(대한민국)







회원님이 기기 등록을 하셨다면 이 메일은 무시하셔도 됩니다.


1. 알림을 받지 않도록 등록한 기기를 삭제 해주세요.
등록한 기기 보기 >

2. 비밀번호를 변경하고 직접 하지 않은 로그인은 ‘로그아웃’ 해 주세요.
비밀번호 변경하기 >

네이버를 이용해 주셔서 감사합니다.더욱 편리한 서비스를 제공하기 위해 항상 최선을 다하겠습니다.


<!-- footer --> 본 메일은 발신전용 입니다. 네이버 서비스관련 궁금하신 사항은 네이버 고객센터에서 확인해주세요.
Copyright ⓒ NAVER Corp. All Rights Reserved.
<!-- //footer -->
<!--[if mso]> </td> </tr> </table> <![endif]-->

",1
